2023-05-07T20:06:02.819Z | lQB8L | user0 | 65
2023-05-07T20:06:03.062Z | lQB8L | user2 | 65
2023-05-07T20:06:03.053Z | lQB8L | user9 | 65
2023-05-07T20:06:03.115Z | lQB8L | user3 | 65
2023-05-07T20:06:03.183Z | lQB8L | user8 | 65
2023-05-07T20:06:03.231Z | lQB8L | user4 | 64
2023-05-07T20:06:03.278Z | lQB8L | user5 | 65
2023-05-07T20:06:03.632Z | lQB8L | user1 | 66
2023-05-07T20:06:03.814Z | lQB8L | desmond | 66
2023-05-07T20:06:03.822Z | lQB8L | user0 | 66
2023-05-07T20:06:03.844Z | lQB8L | user6 | 66
2023-05-07T20:06:04.054Z | lQB8L | user9 | 66
2023-05-07T20:06:04.063Z | lQB8L | user2 | 66
2023-05-07T20:06:04.116Z | lQB8L | user3 | 67
2023-05-07T20:06:04.184Z | lQB8L | user8 | 66
2023-05-07T20:06:04.233Z | lQB8L | user4 | 65
2023-05-07T20:06:04.280Z | lQB8L | user5 | 67
2023-05-07T20:06:04.634Z | lQB8L | user1 | 67
2023-05-07T20:06:04.817Z | lQB8L | desmond | 67
2023-05-07T20:06:04.823Z | lQB8L | user0 | 67
2023-05-07T20:06:04.845Z | lQB8L | user6 | 67
2023-05-07T20:06:05.057Z | lQB8L | user9 | 67
2023-05-07T20:06:05.064Z | lQB8L | user2 | 67
2023-05-07T20:06:05.118Z | lQB8L | user3 | 67
2023-05-07T20:06:05.185Z | lQB8L | user8 | 67
2023-05-07T20:06:05.234Z | lQB8L | user4 | 66
2023-05-07T20:06:05.281Z | lQB8L | user5 | 67
2023-05-07T20:06:05.635Z | lQB8L | user1 | 67
2023-05-07T20:06:05.819Z | lQB8L | desmond | 67
2023-05-07T20:06:05.826Z | lQB8L | user0 | 67
2023-05-07T20:06:05.847Z | lQB8L | user6 | 67
2023-05-07T20:06:06.060Z | lQB8L | user9 | 67
2023-05-07T20:06:06.065Z | lQB8L | user2 | 69
2023-05-07T20:06:06.119Z | lQB8L | user3 | 69
2023-05-07T20:06:06.188Z | lQB8L | user8 | 67
2023-05-07T20:06:06.236Z | lQB8L | user4 | 67
2023-05-07T20:06:06.282Z | lQB8L | user5 | 69
2023-05-07T20:06:06.637Z | lQB8L | user1 | 69
2023-05-07T20:06:06.820Z | lQB8L | desmond | 69
2023-05-07T20:06:06.827Z | lQB8L | user0 | 69
2023-05-07T20:06:06.848Z | lQB8L | user6 | 69
2023-05-07T20:06:07.062Z | lQB8L | user9 | 69
2023-05-07T20:06:07.067Z | lQB8L | user2 | 69
2023-05-07T20:06:07.120Z | lQB8L | user3 | 69
2023-05-07T20:06:07.190Z | lQB8L | user8 | 69
2023-05-07T20:06:07.237Z | lQB8L | user4 | 67
2023-05-07T20:06:07.284Z | lQB8L | user5 | 69
2023-05-07T20:06:07.639Z | lQB8L | user1 | 69
2023-05-07T20:06:07.822Z | lQB8L | desmond | 69
2023-05-07T20:06:07.830Z | lQB8L | user0 | 69
2023-05-07T20:06:07.851Z | lQB8L | user6 | 69
2023-05-07T20:06:08.063Z | lQB8L | user9 | 69
2023-05-07T20:06:08.068Z | lQB8L | user2 | 70
2023-05-07T20:06:08.120Z | lQB8L | user3 | 70
2023-05-07T20:06:08.192Z | lQB8L | user8 | 70
2023-05-07T20:06:08.239Z | lQB8L | user4 | 69
2023-05-07T20:06:08.286Z | lQB8L | user5 | 70
2023-05-07T20:06:08.642Z | lQB8L | user1 | 70
2023-05-07T20:06:08.823Z | lQB8L | desmond | 70
2023-05-07T20:06:08.833Z | lQB8L | user0 | 70
2023-05-07T20:06:08.853Z | lQB8L | user6 | 70
2023-05-07T20:06:09.070Z | lQB8L | user2 | 70
2023-05-07T20:06:09.065Z | lQB8L | user9 | 70
2023-05-07T20:06:09.121Z | lQB8L | user3 | 70
2023-05-07T20:06:09.193Z | lQB8L | user8 | 70
2023-05-07T20:06:09.240Z | lQB8L | user4 | 69
2023-05-07T20:06:09.288Z | lQB8L | user5 | 70
2023-05-07T20:06:09.644Z | lQB8L | user1 | 71
2023-05-07T20:06:09.825Z | lQB8L | desmond | 71
2023-05-07T20:06:09.835Z | lQB8L | user0 | 72
2023-05-07T20:06:09.855Z | lQB8L | user6 | 71
2023-05-07T20:06:10.066Z | lQB8L | user9 | 71
2023-05-07T20:06:10.071Z | lQB8L | user2 | 71
2023-05-07T20:06:10.123Z | lQB8L | user3 | 72
2023-05-07T20:06:10.194Z | lQB8L | user8 | 71
2023-05-07T20:06:10.244Z | lQB8L | user4 | 70
2023-05-07T20:06:10.289Z | lQB8L | user5 | 72
2023-05-07T20:06:10.645Z | lQB8L | user1 | 72
2023-05-07T20:06:10.826Z | lQB8L | desmond | 72
2023-05-07T20:06:10.837Z | lQB8L | user0 | 72
2023-05-07T20:06:10.856Z | lQB8L | user6 | 72
2023-05-07T20:06:11.067Z | lQB8L | user9 | 72
2023-05-07T20:06:11.073Z | lQB8L | user2 | 72
2023-05-07T20:06:11.124Z | lQB8L | user3 | 72
2023-05-07T20:06:11.196Z | lQB8L | user8 | 72
2023-05-07T20:06:11.246Z | lQB8L | user4 | 71
2023-05-07T20:06:11.291Z | lQB8L | user5 | 72
2023-05-07T20:06:11.646Z | lQB8L | user1 | 73
2023-05-07T20:06:11.828Z | lQB8L | desmond | 73
2023-05-07T20:06:11.839Z | lQB8L | user0 | 74
2023-05-07T20:06:11.857Z | lQB8L | user6 | 73
2023-05-07T20:06:12.069Z | lQB8L | user9 | 73
2023-05-07T20:06:12.074Z | lQB8L | user2 | 74
2023-05-07T20:06:12.128Z | lQB8L | user3 | 74
2023-05-07T20:06:12.199Z | lQB8L | user8 | 74
2023-05-07T20:06:12.247Z | lQB8L | user4 | 72
2023-05-07T20:06:12.295Z | lQB8L | user5 | 73
2023-05-07T20:06:12.648Z | lQB8L | user1 | 74
2023-05-07T20:06:12.830Z | lQB8L | desmond | 74
2023-05-07T20:06:12.840Z | lQB8L | user0 | 74
2023-05-07T20:06:12.859Z | lQB8L | user6 | 74
2023-05-07T20:06:13.069Z | lQB8L | user9 | 74
2023-05-07T20:06:13.076Z | lQB8L | user2 | 74
2023-05-07T20:06:13.129Z | lQB8L | user3 | 74
2023-05-07T20:06:13.201Z | lQB8L | user8 | 74
2023-05-07T20:06:13.249Z | lQB8L | user4 | 73
2023-05-07T20:06:13.297Z | lQB8L | user5 | 74
2023-05-07T20:06:13.649Z | lQB8L | user1 | 74
2023-05-07T20:06:13.832Z | lQB8L | desmond | 74
2023-05-07T20:06:13.843Z | lQB8L | user0 | 74
2023-05-07T20:06:13.862Z | lQB8L | user6 | 74
2023-05-07T20:06:14.070Z | lQB8L | user9 | 74
2023-05-07T20:06:14.079Z | lQB8L | user2 | 74
2023-05-07T20:06:14.130Z | lQB8L | user3 | 76
2023-05-07T20:06:14.203Z | lQB8L | user8 | 76
2023-05-07T20:06:14.251Z | lQB8L | user4 | 74
2023-05-07T20:06:14.298Z | lQB8L | user5 | 74
2023-05-07T20:06:14.652Z | lQB8L | user1 | 76
2023-05-07T20:06:14.844Z | lQB8L | user0 | 76
2023-05-07T20:06:14.833Z | lQB8L | desmond | 76
2023-05-07T20:06:14.863Z | lQB8L | user6 | 76
2023-05-07T20:06:15.080Z | lQB8L | user2 | 76
2023-05-07T20:06:15.071Z | lQB8L | user9 | 76
2023-05-07T20:06:15.131Z | lQB8L | user3 | 76
2023-05-07T20:06:15.206Z | lQB8L | user8 | 76
2023-05-07T20:06:15.253Z | lQB8L | user4 | 74
2023-05-07T20:06:15.300Z | lQB8L | user5 | 76
2023-05-07T20:06:15.655Z | lQB8L | user1 | 76
2023-05-07T20:06:15.834Z | lQB8L | desmond | 76
2023-05-07T20:06:15.846Z | lQB8L | user0 | 76
2023-05-07T20:06:15.865Z | lQB8L | user6 | 77
2023-05-07T20:06:16.072Z | lQB8L | user9 | 77
2023-05-07T20:06:16.081Z | lQB8L | user2 | 77
2023-05-07T20:06:16.133Z | lQB8L | user3 | 76
2023-05-07T20:06:16.208Z | lQB8L | user8 | 77
2023-05-07T20:06:16.254Z | lQB8L | user4 | 76
2023-05-07T20:06:16.301Z | lQB8L | user5 | 77
2023-05-07T20:06:16.656Z | lQB8L | user1 | 77
2023-05-07T20:06:16.836Z | lQB8L | desmond | 77
2023-05-07T20:06:16.847Z | lQB8L | user0 | 77
2023-05-07T20:06:16.867Z | lQB8L | user6 | 77
2023-05-07T20:06:17.074Z | lQB8L | user9 | 77
2023-05-07T20:06:17.083Z | lQB8L | user2 | 77
2023-05-07T20:06:17.134Z | lQB8L | user3 | 77
2023-05-07T20:06:17.211Z | lQB8L | user8 | 78
2023-05-07T20:06:17.255Z | lQB8L | user4 | 76
2023-05-07T20:06:17.303Z | lQB8L | user5 | 77
2023-05-07T20:06:17.659Z | lQB8L | user1 | 78
2023-05-07T20:06:17.837Z | lQB8L | desmond | 78
2023-05-07T20:06:17.848Z | lQB8L | user0 | 78
2023-05-07T20:06:17.869Z | lQB8L | user6 | 78
2023-05-07T20:06:18.076Z | lQB8L | user9 | 78
2023-05-07T20:06:18.084Z | lQB8L | user2 | 79
2023-05-07T20:06:18.136Z | lQB8L | user3 | 78
2023-05-07T20:06:18.213Z | lQB8L | user8 | 79
2023-05-07T20:06:18.256Z | lQB8L | user4 | 77
2023-05-07T20:06:18.305Z | lQB8L | user5 | 79
2023-05-07T20:06:18.661Z | lQB8L | user1 | 79
2023-05-07T20:06:18.838Z | lQB8L | desmond | 79
2023-05-07T20:06:18.849Z | lQB8L | user0 | 79
2023-05-07T20:06:18.870Z | lQB8L | user6 | 79
2023-05-07T20:06:19.078Z | lQB8L | user9 | 79
2023-05-07T20:06:19.087Z | lQB8L | user2 | 79
2023-05-07T20:06:19.138Z | lQB8L | user3 | 79
2023-05-07T20:06:19.214Z | lQB8L | user8 | 79
2023-05-07T20:06:19.260Z | lQB8L | user4 | 78
2023-05-07T20:06:19.306Z | lQB8L | user5 | 79
2023-05-07T20:06:19.662Z | lQB8L | user1 | 80
2023-05-07T20:06:19.840Z | lQB8L | desmond | 80
2023-05-07T20:06:19.851Z | lQB8L | user0 | 80
2023-05-07T20:06:19.871Z | lQB8L | user6 | 80
2023-05-07T20:06:20.079Z | lQB8L | user9 | 81
2023-05-07T20:06:20.088Z | lQB8L | user2 | 81
2023-05-07T20:06:20.139Z | lQB8L | user3 | 80
2023-05-07T20:06:20.216Z | lQB8L | user8 | 81
2023-05-07T20:06:20.262Z | lQB8L | user4 | 79
2023-05-07T20:06:20.308Z | lQB8L | user5 | 81
2023-05-07T20:06:20.663Z | lQB8L | user1 | 81
2023-05-07T20:06:20.842Z | lQB8L | desmond | 81
2023-05-07T20:06:20.854Z | lQB8L | user0 | 81
2023-05-07T20:06:20.873Z | lQB8L | user6 | 81
2023-05-07T20:06:21.090Z | lQB8L | user2 | 81
2023-05-07T20:06:21.080Z | lQB8L | user9 | 81
2023-05-07T20:06:21.142Z | lQB8L | user3 | 81
2023-05-07T20:06:21.218Z | lQB8L | user8 | 81
2023-05-07T20:06:21.264Z | lQB8L | user4 | 79
2023-05-07T20:06:21.309Z | lQB8L | user5 | 81
2023-05-07T20:06:21.664Z | lQB8L | user1 | 81
2023-05-07T20:06:21.845Z | lQB8L | desmond | 81
2023-05-07T20:06:21.855Z | lQB8L | user0 | 81
2023-05-07T20:06:21.873Z | lQB8L | user6 | 81
2023-05-07T20:06:22.081Z | lQB8L | user9 | 83
2023-05-07T20:06:22.093Z | lQB8L | user2 | 83
2023-05-07T20:06:22.145Z | lQB8L | user3 | 81
2023-05-07T20:06:22.219Z | lQB8L | user8 | 83
2023-05-07T20:06:22.266Z | lQB8L | user4 | 81
2023-05-07T20:06:22.311Z | lQB8L | user5 | 83
2023-05-07T20:06:22.666Z | lQB8L | user1 | 82
2023-05-07T20:06:22.848Z | lQB8L | desmond | 82
2023-05-07T20:06:22.857Z | lQB8L | user0 | 82
2023-05-07T20:06:22.877Z | lQB8L | user6 | 82
2023-05-07T20:06:23.083Z | lQB8L | user9 | 82
2023-05-07T20:06:23.096Z | lQB8L | user2 | 82
2023-05-07T20:06:23.148Z | lQB8L | user3 | 82
2023-05-07T20:06:23.221Z | lQB8L | user8 | 82
2023-05-07T20:06:23.267Z | lQB8L | user4 | 81
2023-05-07T20:06:23.312Z | lQB8L | user5 | 82
2023-05-07T20:06:23.667Z | lQB8L | user1 | 83
2023-05-07T20:06:23.849Z | lQB8L | desmond | 83
2023-05-07T20:06:23.859Z | lQB8L | user0 | 83
2023-05-07T20:06:23.879Z | lQB8L | user6 | 83
2023-05-07T20:06:24.084Z | lQB8L | user9 | 84
2023-05-07T20:06:24.097Z | lQB8L | user2 | 84
2023-05-07T20:06:24.150Z | lQB8L | user3 | 83
2023-05-07T20:06:24.223Z | lQB8L | user8 | 84
2023-05-07T20:06:24.269Z | lQB8L | user4 | 83
2023-05-07T20:06:24.314Z | lQB8L | user5 | 84
2023-05-07T20:06:24.669Z | lQB8L | user1 | 84
2023-05-07T20:06:24.850Z | lQB8L | desmond | 84
2023-05-07T20:06:24.861Z | lQB8L | user0 | 84
2023-05-07T20:06:24.880Z | lQB8L | user6 | 84
2023-05-07T20:06:25.085Z | lQB8L | user9 | 84
2023-05-07T20:06:25.099Z | lQB8L | user2 | 84
2023-05-07T20:06:25.151Z | lQB8L | user3 | 85
2023-05-07T20:06:25.225Z | lQB8L | user8 | 84
2023-05-07T20:06:25.271Z | lQB8L | user4 | 82
2023-05-07T20:06:25.315Z | lQB8L | user5 | 84
2023-05-07T20:06:25.671Z | lQB8L | user1 | 85
2023-05-07T20:06:25.851Z | lQB8L | desmond | 85
2023-05-07T20:06:25.863Z | lQB8L | user0 | 85
2023-05-07T20:06:25.882Z | lQB8L | user6 | 85
2023-05-07T20:06:26.086Z | lQB8L | user9 | 86
2023-05-07T20:06:26.102Z | lQB8L | user2 | 86
2023-05-07T20:06:26.154Z | lQB8L | user3 | 85
2023-05-07T20:06:26.227Z | lQB8L | user8 | 85
2023-05-07T20:06:26.274Z | lQB8L | user4 | 84
2023-05-07T20:06:26.317Z | lQB8L | user5 | 86
2023-05-07T20:06:26.672Z | lQB8L | user1 | 86
2023-05-07T20:06:26.853Z | lQB8L | desmond | 86
2023-05-07T20:06:26.883Z | lQB8L | user6 | 86
2023-05-07T20:06:26.865Z | lQB8L | user0 | 86
2023-05-07T20:06:27.104Z | lQB8L | user2 | 86
2023-05-07T20:06:27.089Z | lQB8L | user9 | 86
2023-05-07T20:06:27.154Z | lQB8L | user3 | 86
2023-05-07T20:06:27.228Z | lQB8L | user8 | 86
2023-05-07T20:06:27.276Z | lQB8L | user4 | 85
2023-05-07T20:06:27.318Z | lQB8L | user5 | 86
2023-05-07T20:06:27.673Z | lQB8L | user1 | 86
2023-05-07T20:06:27.855Z | lQB8L | desmond | 86
2023-05-07T20:06:27.867Z | lQB8L | user0 | 86
2023-05-07T20:06:27.884Z | lQB8L | user6 | 86
2023-05-07T20:06:28.091Z | lQB8L | user9 | 88
2023-05-07T20:06:28.105Z | lQB8L | user2 | 86
2023-05-07T20:06:28.156Z | lQB8L | user3 | 86
2023-05-07T20:06:28.230Z | lQB8L | user8 | 86
2023-05-07T20:06:28.277Z | lQB8L | user4 | 86
2023-05-07T20:06:28.319Z | lQB8L | user5 | 88
2023-05-07T20:06:28.676Z | lQB8L | user1 | 88
2023-05-07T20:06:28.857Z | lQB8L | desmond | 87
2023-05-07T20:06:28.869Z | lQB8L | user0 | 87
2023-05-07T20:06:28.886Z | lQB8L | user6 | 87
2023-05-07T20:06:29.094Z | lQB8L | user9 | 87
2023-05-07T20:06:29.107Z | lQB8L | user2 | 87
2023-05-07T20:06:29.157Z | lQB8L | user3 | 87
2023-05-07T20:06:29.231Z | lQB8L | user8 | 87
2023-05-07T20:06:29.279Z | lQB8L | user4 | 86
2023-05-07T20:06:29.321Z | lQB8L | user5 | 87
2023-05-07T20:06:29.677Z | lQB8L | user1 | 88
2023-05-07T20:06:29.859Z | lQB8L | desmond | 88
2023-05-07T20:06:29.871Z | lQB8L | user0 | 88
2023-05-07T20:06:29.887Z | lQB8L | user6 | 88
2023-05-07T20:06:30.096Z | lQB8L | user9 | 89
2023-05-07T20:06:30.110Z | lQB8L | user2 | 88
2023-05-07T20:06:30.159Z | lQB8L | user3 | 89
2023-05-07T20:06:30.233Z | lQB8L | user8 | 88
2023-05-07T20:06:30.281Z | lQB8L | user4 | 88
2023-05-07T20:06:30.322Z | lQB8L | user5 | 89
2023-05-07T20:06:30.679Z | lQB8L | user1 | 89
2023-05-07T20:06:30.862Z | lQB8L | desmond | 89
