2023-05-07T20:09:09.009Z | lQB8L | user0 | play
2023-05-07T20:09:09.051Z | lQB8L | user8 | play
2023-05-07T20:09:20.046Z | lQB8L | desmond | pause
2023-05-07T20:09:20.063Z | lQB8L | user1 | pause
2023-05-07T20:09:20.066Z | lQB8L | user9 | pause
2023-05-07T20:09:20.063Z | lQB8L | user2 | pause
2023-05-07T20:09:20.063Z | lQB8L | user3 | pause
2023-05-07T20:09:20.063Z | lQB8L | user8 | pause
2023-05-07T20:09:20.067Z | lQB8L | user0 | pause
2023-05-07T20:09:20.072Z | lQB8L | user4 | pause
2023-05-07T20:09:20.087Z | lQB8L | user6 | pause
2023-05-07T20:09:20.097Z | lQB8L | user5 | pause
2023-05-07T20:09:32.927Z | lQB8L | desmond | play
2023-05-07T20:09:32.954Z | lQB8L | user9 | play
2023-05-07T20:09:32.951Z | lQB8L | user6 | play
2023-05-07T20:09:32.972Z | lQB8L | user5 | play
2023-05-07T20:09:32.966Z | lQB8L | user8 | play
2023-05-07T20:09:32.960Z | lQB8L | user1 | play
2023-05-07T20:09:32.961Z | lQB8L | user3 | play
2023-05-07T20:09:32.971Z | lQB8L | user2 | play
2023-05-07T20:09:32.968Z | lQB8L | user0 | play
2023-05-07T20:09:32.958Z | lQB8L | user4 | play
2023-05-07T20:09:45.037Z | lQB8L | desmond | pause
2023-05-07T20:09:45.057Z | lQB8L | user5 | pause
2023-05-07T20:09:45.059Z | lQB8L | user2 | pause
2023-05-07T20:09:45.060Z | lQB8L | user4 | pause
2023-05-07T20:09:45.059Z | lQB8L | user0 | pause
2023-05-07T20:09:45.063Z | lQB8L | user9 | pause
2023-05-07T20:09:45.064Z | lQB8L | user1 | pause
2023-05-07T20:09:45.088Z | lQB8L | user3 | pause
2023-05-07T20:09:45.059Z | lQB8L | user8 | pause
2023-05-07T20:09:45.118Z | lQB8L | user6 | pause
2023-05-07T20:09:55.688Z | lQB8L | desmond | play
2023-05-07T20:09:55.725Z | lQB8L | user5 | play
2023-05-07T20:09:55.713Z | lQB8L | user6 | play
2023-05-07T20:09:55.714Z | lQB8L | user3 | play
2023-05-07T20:09:55.713Z | lQB8L | user2 | play
2023-05-07T20:09:55.724Z | lQB8L | user1 | play
2023-05-07T20:09:55.728Z | lQB8L | user8 | play
2023-05-07T20:09:55.716Z | lQB8L | user0 | play
2023-05-07T20:09:55.770Z | lQB8L | user9 | play
2023-05-07T20:09:55.771Z | lQB8L | user4 | play
2023-05-07T20:10:07.715Z | lQB8L | desmond | pause
2023-05-07T20:10:07.738Z | lQB8L | user1 | pause
2023-05-07T20:10:07.736Z | lQB8L | user6 | pause
2023-05-07T20:10:07.738Z | lQB8L | user0 | pause
2023-05-07T20:10:07.738Z | lQB8L | user2 | pause
2023-05-07T20:10:07.738Z | lQB8L | user5 | pause
2023-05-07T20:10:07.765Z | lQB8L | user4 | pause
2023-05-07T20:10:07.746Z | lQB8L | user8 | pause
2023-05-07T20:10:07.743Z | lQB8L | user3 | pause
2023-05-07T20:10:07.745Z | lQB8L | user9 | pause
2023-05-07T20:10:25.329Z | lQB8L | desmond | play
2023-05-07T20:10:25.364Z | lQB8L | user8 | play
2023-05-07T20:10:25.361Z | lQB8L | user0 | play
2023-05-07T20:10:25.360Z | lQB8L | user6 | play
2023-05-07T20:10:25.363Z | lQB8L | user3 | play
2023-05-07T20:10:25.359Z | lQB8L | user1 | play
2023-05-07T20:10:25.368Z | lQB8L | user9 | play
2023-05-07T20:10:25.372Z | lQB8L | user2 | play
2023-05-07T20:10:25.372Z | lQB8L | user5 | play
2023-05-07T20:10:25.436Z | lQB8L | user4 | play
2023-05-07T20:10:37.235Z | lQB8L | user0 | pause
2023-05-07T20:10:37.235Z | lQB8L | user2 | pause
2023-05-07T20:10:37.215Z | lQB8L | desmond | pause
2023-05-07T20:10:37.237Z | lQB8L | user1 | pause
2023-05-07T20:10:37.237Z | lQB8L | user4 | pause
2023-05-07T20:10:37.240Z | lQB8L | user6 | pause
2023-05-07T20:10:37.242Z | lQB8L | user3 | pause
2023-05-07T20:10:37.237Z | lQB8L | user8 | pause
2023-05-07T20:10:37.262Z | lQB8L | user5 | pause
2023-05-07T20:10:37.276Z | lQB8L | user9 | pause
2023-05-07T20:10:48.566Z | lQB8L | desmond | play
2023-05-07T20:10:48.597Z | lQB8L | user5 | play
2023-05-07T20:10:48.597Z | lQB8L | user3 | play
2023-05-07T20:10:48.602Z | lQB8L | user0 | play
2023-05-07T20:10:48.615Z | lQB8L | user4 | play
