2023-05-07T19:55:24.614Z | kPaGU | user2 | 71
2023-05-07T19:55:24.762Z | kPaGU | user1 | 72
2023-05-07T19:55:24.885Z | kPaGU | user4 | 72
2023-05-07T19:55:24.954Z | kPaGU | desmond | 72
2023-05-07T19:55:24.972Z | kPaGU | user3 | 72
2023-05-07T19:55:25.256Z | kPaGU | user5 | 72
2023-05-07T19:55:25.507Z | kPaGU | user0 | 72
2023-05-07T19:55:25.615Z | kPaGU | user2 | 72
2023-05-07T19:55:25.764Z | kPaGU | user1 | 72
2023-05-07T19:55:25.887Z | kPaGU | user4 | 72
2023-05-07T19:55:25.955Z | kPaGU | desmond | 72
2023-05-07T19:55:25.974Z | kPaGU | user3 | 72
2023-05-07T19:55:26.258Z | kPaGU | user5 | 72
2023-05-07T19:55:26.509Z | kPaGU | user0 | 72
2023-05-07T19:55:26.616Z | kPaGU | user2 | 73
2023-05-07T19:55:26.766Z | kPaGU | user1 | 74
2023-05-07T19:55:26.889Z | kPaGU | user4 | 74
2023-05-07T19:55:26.957Z | kPaGU | desmond | 74
2023-05-07T19:55:26.975Z | kPaGU | user3 | 74
2023-05-07T19:55:27.259Z | kPaGU | user5 | 74
2023-05-07T19:55:27.512Z | kPaGU | user0 | 73
2023-05-07T19:55:27.618Z | kPaGU | user2 | 74
2023-05-07T19:55:27.768Z | kPaGU | user1 | 74
2023-05-07T19:55:27.891Z | kPaGU | user4 | 74
2023-05-07T19:55:27.960Z | kPaGU | desmond | 74
2023-05-07T19:55:27.980Z | kPaGU | user3 | 74
2023-05-07T19:55:28.264Z | kPaGU | user5 | 74
2023-05-07T19:55:28.514Z | kPaGU | user0 | 72
2023-05-07T19:55:28.619Z | kPaGU | user2 | 74
2023-05-07T19:55:28.770Z | kPaGU | user1 | 74
2023-05-07T19:55:28.892Z | kPaGU | user4 | 76
2023-05-07T19:55:28.964Z | kPaGU | desmond | 76
2023-05-07T19:55:28.982Z | kPaGU | user3 | 76
2023-05-07T19:55:29.266Z | kPaGU | user5 | 76
2023-05-07T19:55:29.517Z | kPaGU | user0 | 76
2023-05-07T19:55:29.621Z | kPaGU | user2 | 76
2023-05-07T19:55:29.772Z | kPaGU | user1 | 76
2023-05-07T19:55:29.895Z | kPaGU | user4 | 76
2023-05-07T19:55:29.965Z | kPaGU | desmond | 76
2023-05-07T19:55:29.984Z | kPaGU | user3 | 76
2023-05-07T19:55:30.268Z | kPaGU | user5 | 76
2023-05-07T19:55:30.520Z | kPaGU | user0 | 76
2023-05-07T19:55:30.622Z | kPaGU | user2 | 76
2023-05-07T19:55:30.774Z | kPaGU | user1 | 76
2023-05-07T19:55:30.897Z | kPaGU | user4 | 77
2023-05-07T19:55:30.968Z | kPaGU | desmond | 77
2023-05-07T19:55:30.986Z | kPaGU | user3 | 77
2023-05-07T19:55:31.271Z | kPaGU | user5 | 77
2023-05-07T19:55:31.521Z | kPaGU | user0 | 77
2023-05-07T19:55:31.623Z | kPaGU | user2 | 77
2023-05-07T19:55:31.778Z | kPaGU | user1 | 77
2023-05-07T19:55:31.899Z | kPaGU | user4 | 78
2023-05-07T19:55:31.969Z | kPaGU | desmond | 78
2023-05-07T19:55:31.987Z | kPaGU | user3 | 78
2023-05-07T19:55:32.272Z | kPaGU | user5 | 78
2023-05-07T19:55:32.523Z | kPaGU | user0 | 78
2023-05-07T19:55:32.625Z | kPaGU | user2 | 78
2023-05-07T19:55:32.780Z | kPaGU | user1 | 78
2023-05-07T19:55:32.901Z | kPaGU | user4 | 79
2023-05-07T19:55:32.969Z | kPaGU | desmond | 79
2023-05-07T19:55:32.988Z | kPaGU | user3 | 79
