2023-05-07T20:25:15.698Z | Fjfnu | user10 | 4
2023-05-07T20:25:15.835Z | Fjfnu | user0 | 4
2023-05-07T20:25:15.901Z | Fjfnu | user1 | 4
2023-05-07T20:25:16.050Z | Fjfnu | user18 | 4
2023-05-07T20:25:16.294Z | Fjfnu | user14 | 4
2023-05-07T20:25:16.355Z | Fjfnu | mansi | 14
2023-05-07T20:25:16.362Z | Fjfnu | user3 | 4
2023-05-07T20:25:16.217Z | Fjfnu | user13 | 6
2023-05-07T20:25:16.416Z | Fjfnu | user6 | 4
2023-05-07T20:25:16.403Z | Fjfnu | user19 | 60
2023-05-07T20:25:16.446Z | Fjfnu | user5 | 12
2023-05-07T20:25:16.515Z | Fjfnu | user7 | 14
2023-05-07T20:25:16.477Z | Fjfnu | user11 | 6
2023-05-07T20:25:16.656Z | Fjfnu | user4 | 12
2023-05-07T20:25:16.464Z | Fjfnu | user8 | 4
2023-05-07T20:25:16.703Z | Fjfnu | user12 | 6
2023-05-07T20:25:16.433Z | Fjfnu | user9 | 14
2023-05-07T20:25:16.952Z | Fjfnu | user2 | 10
2023-05-07T20:25:17.080Z | Fjfnu | user1 | 14
2023-05-07T20:25:17.358Z | Fjfnu | mansi | 16
2023-05-07T20:25:17.221Z | Fjfnu | user13 | 14
2023-05-07T20:25:17.417Z | Fjfnu | user6 | 14
2023-05-07T20:25:17.449Z | Fjfnu | user9 | 26
2023-05-07T20:25:17.479Z | Fjfnu | user11 | 4
2023-05-07T20:25:17.429Z | Fjfnu | user14 | 4
2023-05-07T20:25:16.843Z | Fjfnu | user0 | 16
2023-05-07T20:25:16.912Z | Fjfnu | user10 | 10
2023-05-07T20:25:17.514Z | Fjfnu | user3 | 4
2023-05-07T20:25:17.453Z | Fjfnu | user5 | 14
2023-05-07T20:25:17.578Z | Fjfnu | user7 | 4
2023-05-07T20:25:17.061Z | Fjfnu | user18 | 16
2023-05-07T20:25:16.890Z | Fjfnu | user17 | 16
2023-05-07T20:25:17.467Z | Fjfnu | user8 | 10
2023-05-07T20:25:17.746Z | Fjfnu | user4 | 4
2023-05-07T20:25:17.797Z | Fjfnu | user12 | 4
2023-05-07T20:25:17.920Z | Fjfnu | user17 | 4
2023-05-07T20:25:17.942Z | Fjfnu | user10 | 4
2023-05-07T20:25:17.983Z | Fjfnu | user2 | 4
2023-05-07T20:25:18.213Z | Fjfnu | user1 | 4
2023-05-07T20:25:18.079Z | Fjfnu | user0 | 8
2023-05-07T20:25:17.416Z | Fjfnu | user19 | 4
2023-05-07T20:25:18.253Z | Fjfnu | user18 | 12
2023-05-07T20:25:18.360Z | Fjfnu | mansi | 16
2023-05-07T20:25:18.383Z | Fjfnu | user13 | 4
2023-05-07T20:25:18.464Z | Fjfnu | user5 | 4
2023-05-07T20:25:18.466Z | Fjfnu | user14 | 10
2023-05-07T20:25:18.481Z | Fjfnu | user6 | 12
2023-05-07T20:25:18.483Z | Fjfnu | user11 | 14
2023-05-07T20:25:18.492Z | Fjfnu | user19 | 4
2023-05-07T20:25:18.574Z | Fjfnu | user8 | 8
