2023-05-07T19:25:08.772Z | aDxcQ | user17 | 23
2023-05-07T19:25:08.772Z | aDxcQ | user3 | 23
2023-05-07T19:25:08.821Z | aDxcQ | user6 | 23
2023-05-07T19:25:08.823Z | aDxcQ | user14 | 23
2023-05-07T19:25:09.059Z | aDxcQ | user12 | 23
2023-05-07T19:25:09.218Z | aDxcQ | user7 | 23
2023-05-07T19:25:09.269Z | aDxcQ | user1 | 23
2023-05-07T19:25:09.296Z | aDxcQ | user4 | 26
2023-05-07T19:25:09.333Z | aDxcQ | user16 | 23
2023-05-07T19:25:09.385Z | aDxcQ | user11 | 29
2023-05-07T19:25:09.416Z | aDxcQ | user2 | 23
2023-05-07T19:25:09.508Z | aDxcQ | user0 | 24
2023-05-07T19:25:09.538Z | aDxcQ | user15 | 25
2023-05-07T19:25:09.724Z | aDxcQ | user5 | 23
2023-05-07T19:25:09.734Z | aDxcQ | desmond | 23
2023-05-07T19:25:09.780Z | aDxcQ | user17 | 23
2023-05-07T19:25:09.780Z | aDxcQ | user3 | 23
2023-05-07T19:25:09.831Z | aDxcQ | user14 | 23
2023-05-07T19:25:09.831Z | aDxcQ | user6 | 23
2023-05-07T19:25:10.061Z | aDxcQ | user12 | 23
2023-05-07T19:25:10.228Z | aDxcQ | user7 | 23
2023-05-07T19:25:10.278Z | aDxcQ | user1 | 23
2023-05-07T19:25:10.305Z | aDxcQ | user4 | 26
2023-05-07T19:25:10.342Z | aDxcQ | user16 | 23
2023-05-07T19:25:10.392Z | aDxcQ | user11 | 29
2023-05-07T19:25:10.422Z | aDxcQ | user2 | 23
2023-05-07T19:25:10.512Z | aDxcQ | user0 | 24
2023-05-07T19:25:10.552Z | aDxcQ | user15 | 25
2023-05-07T19:25:10.729Z | aDxcQ | user5 | 23
2023-05-07T19:25:10.764Z | aDxcQ | desmond | 23
2023-05-07T19:25:10.784Z | aDxcQ | user17 | 23
2023-05-07T19:25:10.784Z | aDxcQ | user3 | 23
2023-05-07T19:25:10.835Z | aDxcQ | user14 | 23
2023-05-07T19:25:10.837Z | aDxcQ | user6 | 23
2023-05-07T19:25:11.071Z | aDxcQ | user12 | 23
2023-05-07T19:25:11.234Z | aDxcQ | user7 | 23
2023-05-07T19:25:11.285Z | aDxcQ | user1 | 23
2023-05-07T19:25:11.318Z | aDxcQ | user4 | 26
2023-05-07T19:25:11.351Z | aDxcQ | user16 | 23
2023-05-07T19:25:11.402Z | aDxcQ | user11 | 29
2023-05-07T19:25:11.433Z | aDxcQ | user2 | 23
2023-05-07T19:25:11.519Z | aDxcQ | user0 | 23
2023-05-07T19:25:11.556Z | aDxcQ | user15 | 25
2023-05-07T19:25:11.738Z | aDxcQ | user5 | 23
2023-05-07T19:25:11.796Z | aDxcQ | user17 | 23
2023-05-07T19:25:11.792Z | aDxcQ | user3 | 23
2023-05-07T19:25:11.795Z | aDxcQ | desmond | 23
2023-05-07T19:25:11.844Z | aDxcQ | user14 | 23
2023-05-07T19:25:11.845Z | aDxcQ | user6 | 23
2023-05-07T19:25:12.080Z | aDxcQ | user12 | 23
2023-05-07T19:25:12.238Z | aDxcQ | user7 | 23
2023-05-07T19:25:12.287Z | aDxcQ | user1 | 23
2023-05-07T19:25:12.328Z | aDxcQ | user4 | 26
2023-05-07T19:25:12.354Z | aDxcQ | user16 | 23
2023-05-07T19:25:12.409Z | aDxcQ | user11 | 29
2023-05-07T19:25:12.442Z | aDxcQ | user2 | 23
2023-05-07T19:25:12.534Z | aDxcQ | user0 | 23
2023-05-07T19:25:12.564Z | aDxcQ | user15 | 25
2023-05-07T19:25:12.802Z | aDxcQ | user17 | 23
2023-05-07T19:25:12.745Z | aDxcQ | user5 | 23
2023-05-07T19:25:12.798Z | aDxcQ | user3 | 23
2023-05-07T19:25:12.809Z | aDxcQ | desmond | 23
2023-05-07T19:25:12.851Z | aDxcQ | user6 | 23
2023-05-07T19:25:12.851Z | aDxcQ | user14 | 23
