2023-05-07T18:12:08.299Z | DsU04 | desmond | 64
2023-05-07T18:12:09.428Z | DsU04 | user0 | 65
2023-05-07T18:12:09.306Z | DsU04 | desmond | 64
2023-05-07T18:12:10.438Z | DsU04 | user0 | 65
2023-05-07T18:12:10.314Z | DsU04 | desmond | 64
2023-05-07T18:12:11.450Z | DsU04 | user0 | 65
2023-05-07T18:12:11.319Z | DsU04 | desmond | 64
2023-05-07T18:12:12.459Z | DsU04 | user0 | 65
2023-05-07T18:12:12.331Z | DsU04 | desmond | 63
2023-05-07T18:12:13.467Z | DsU04 | user0 | 77
2023-05-07T18:12:13.339Z | DsU04 | desmond | 76
2023-05-07T18:12:14.470Z | DsU04 | user0 | 77
2023-05-07T18:12:14.346Z | DsU04 | desmond | 76
2023-05-07T18:12:15.479Z | DsU04 | user0 | 77
2023-05-07T18:12:15.354Z | DsU04 | desmond | 75
2023-05-07T18:12:16.483Z | DsU04 | user0 | 77
2023-05-07T18:12:16.363Z | DsU04 | desmond | 75
2023-05-07T18:12:17.496Z | DsU04 | user0 | 77
2023-05-07T18:12:36.522Z | DsU04 | desmond | 75
2023-05-07T18:12:37.591Z | DsU04 | user0 | 77
2023-05-07T18:12:37.531Z | DsU04 | desmond | 75
2023-05-07T18:12:38.594Z | DsU04 | user0 | 77
2023-05-07T18:12:38.539Z | DsU04 | desmond | 75
2023-05-07T18:12:39.597Z | DsU04 | user0 | 76
2023-05-07T18:12:39.554Z | DsU04 | desmond | 75
2023-05-07T18:12:40.600Z | DsU04 | user0 | 76
2023-05-07T18:12:40.562Z | DsU04 | desmond | 75
2023-05-07T18:12:41.606Z | DsU04 | user0 | 76
2023-05-07T18:12:41.570Z | DsU04 | desmond | 75
2023-05-07T18:12:42.617Z | DsU04 | user0 | 76
2023-05-07T18:12:42.578Z | DsU04 | desmond | 75
2023-05-07T18:12:43.624Z | DsU04 | user0 | 76
2023-05-07T18:12:43.586Z | DsU04 | desmond | 75
2023-05-07T18:12:44.635Z | DsU04 | user0 | 76
2023-05-07T18:12:44.594Z | DsU04 | desmond | 74
2023-05-07T18:12:45.636Z | DsU04 | user0 | 76
2023-05-07T18:12:45.602Z | DsU04 | desmond | 74
2023-05-07T18:12:46.642Z | DsU04 | user0 | 76
2023-05-07T18:12:46.610Z | DsU04 | desmond | 74
2023-05-07T18:12:47.644Z | DsU04 | user0 | 76
2023-05-07T18:12:47.619Z | DsU04 | desmond | 74
2023-05-07T18:12:48.647Z | DsU04 | user0 | 75
2023-05-07T18:12:48.626Z | DsU04 | desmond | 74
2023-05-07T18:12:49.650Z | DsU04 | user0 | 75
