2023-05-07T18:10:00.672Z | DsU04 | user0 | 0
2023-05-07T18:10:01.684Z | DsU04 | user0 | 0
2023-05-07T18:10:41.600Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:42.913Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:42.611Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:43.917Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:43.621Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:44.920Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:44.629Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:45.927Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:45.637Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:46.936Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:46.645Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:47.945Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:47.653Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:48.948Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:48.661Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:49.958Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:49.670Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:50.962Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:50.675Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:51.964Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:51.683Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:52.975Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:52.692Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:10:53.985Z | DsU04 | user0 | 0.00002179343930058119
2023-05-07T18:10:53.701Z | DsU04 | desmond | 0.00006538008413615922
2023-05-07T18:11:02.772Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:04.038Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:03.782Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:05.046Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:04.793Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:06.048Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:05.803Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:07.050Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:06.817Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:08.055Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:07.828Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:09.061Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:08.835Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:10.070Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:09.844Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:11.088Z | DsU04 | user0 | 0.0000733425173663872
2023-05-07T18:11:10.853Z | DsU04 | desmond | 0.0001245439648021264
2023-05-07T18:11:21.938Z | DsU04 | desmond | 2354133.1007327638
2023-05-07T18:11:23.153Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:22.948Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:24.161Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:23.955Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:25.167Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:24.965Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:26.172Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:25.972Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:27.183Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:26.979Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:28.191Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:27.988Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:29.194Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:28.997Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:30.200Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:30.005Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:31.205Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:31.013Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:32.215Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:32.019Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:33.222Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:33.028Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:34.230Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:34.037Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:35.237Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:35.044Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:36.245Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:36.055Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:37.248Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:37.061Z | DsU04 | desmond | 0.0002698858048834424
2023-05-07T18:11:38.252Z | DsU04 | user0 | 0.00023912207730488982
2023-05-07T18:11:44.111Z | DsU04 | desmond | 2402904.8609707397
2023-05-07T18:11:45.300Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:45.117Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:46.304Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:46.123Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:47.313Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:47.134Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:48.316Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:48.138Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:49.324Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:49.148Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:50.326Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:50.156Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:51.329Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:51.163Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:52.330Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:52.171Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:53.334Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:53.180Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:54.340Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:54.187Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:55.346Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:11:55.196Z | DsU04 | desmond | 0.0002012553308397845
2023-05-07T18:11:56.352Z | DsU04 | user0 | 0.0001127601008699907
2023-05-07T18:12:05.276Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:06.416Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:06.283Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:07.422Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:07.291Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:08.424Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:08.302Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:09.432Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:09.307Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:10.439Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:10.315Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:11.450Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:11.321Z | DsU04 | desmond | 0.0002245829945492823
