2023-05-07T19:28:58.454Z | aDxcQ | desmond | pause
2023-05-07T19:28:58.505Z | aDxcQ | user3 | pause
2023-05-07T19:28:58.507Z | aDxcQ | user4 | pause
2023-05-07T19:28:58.505Z | aDxcQ | user15 | pause
2023-05-07T19:28:58.506Z | aDxcQ | user16 | pause
2023-05-07T19:28:58.511Z | aDxcQ | user7 | pause
2023-05-07T19:28:58.510Z | aDxcQ | user0 | pause
2023-05-07T19:28:58.506Z | aDxcQ | user11 | pause
2023-05-07T19:28:58.534Z | aDxcQ | user2 | pause
2023-05-07T19:28:58.509Z | aDxcQ | user12 | pause
2023-05-07T19:28:58.505Z | aDxcQ | user17 | pause
2023-05-07T19:28:58.511Z | aDxcQ | user1 | pause
2023-05-07T19:28:58.535Z | aDxcQ | user14 | pause
2023-05-07T19:28:58.620Z | aDxcQ | user6 | pause
2023-05-07T19:28:58.890Z | aDxcQ | user5 | pause
2023-05-07T19:29:09.490Z | aDxcQ | user14 | play
2023-05-07T19:29:09.511Z | aDxcQ | user17 | play
2023-05-07T19:29:09.512Z | aDxcQ | user12 | play
2023-05-07T19:29:09.513Z | aDxcQ | user7 | play
2023-05-07T19:29:09.540Z | aDxcQ | user1 | play
2023-05-07T19:29:09.511Z | aDxcQ | user16 | play
2023-05-07T19:29:09.538Z | aDxcQ | user6 | play
2023-05-07T19:29:09.555Z | aDxcQ | user15 | play
2023-05-07T19:29:09.724Z | aDxcQ | user4 | play
2023-05-07T19:29:09.698Z | aDxcQ | user11 | play
2023-05-07T19:29:09.697Z | aDxcQ | user2 | play
2023-05-07T19:29:09.801Z | aDxcQ | user0 | play
2023-05-07T19:29:10.179Z | aDxcQ | user3 | play
2023-05-07T19:29:09.697Z | aDxcQ | user5 | play
2023-05-07T19:29:17.721Z | aDxcQ | desmond | play
2023-05-07T19:30:14.819Z | aDxcQ | desmond | pause
2023-05-07T19:30:14.842Z | aDxcQ | user14 | pause
