2023-05-07T18:42:17.243Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:17.499Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:17.334Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:17.794Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:18.161Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:18.264Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:18.336Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:17.559Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:18.501Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:18.801Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:19.168Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:19.288Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:19.345Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:18.571Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:19.503Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:19.805Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:20.172Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:20.315Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:20.348Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:19.580Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:20.513Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:20.809Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:21.175Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:21.330Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:21.354Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:20.588Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:21.518Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:21.813Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:22.184Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:22.356Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:22.363Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:21.594Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:22.522Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:22.815Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:23.190Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:23.367Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:23.368Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:22.609Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:23.530Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:23.822Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:24.196Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:24.374Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:24.383Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:23.628Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:24.539Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:24.825Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:25.203Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:25.384Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:25.409Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:24.637Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:25.548Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:25.833Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:26.207Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:26.421Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:26.387Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:25.653Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:26.553Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:26.835Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:27.210Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:27.392Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:27.449Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:26.669Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:27.559Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:27.839Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:28.219Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:28.396Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:28.468Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:27.684Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:28.565Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:28.842Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:29.221Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:29.403Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:29.490Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:28.692Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:29.573Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:29.848Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:30.227Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:30.410Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:30.515Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:29.703Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:30.581Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:30.857Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:31.235Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:31.415Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:31.527Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:30.718Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:31.583Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:31.863Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:32.242Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:32.424Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:31.740Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:32.552Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:32.592Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:32.872Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:33.251Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:33.432Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:33.562Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:33.596Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:32.748Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:33.880Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:34.253Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:34.437Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:33.757Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:34.593Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:34.601Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:34.885Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:35.259Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:35.444Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:35.607Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:35.609Z | PViyg | mansi | 0.00046583686147661375
