2023-05-07T19:13:05.822Z | mtYK9 | user8 | 0
2023-05-07T19:13:35.592Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:35.718Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:35.816Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:35.798Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:35.823Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:35.854Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:35.858Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:36.218Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:36.140Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:36.389Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:36.396Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:36.599Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:36.725Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:36.807Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:36.824Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:36.830Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:36.858Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:36.866Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:37.152Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:37.223Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:37.404Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:37.398Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:37.608Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:37.734Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:37.815Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:37.833Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:37.839Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:37.866Z | mtYK9 | user4 | 0.00026561382757581126
