2023-05-07T19:03:37.237Z | nDp8H | user3 | 35
2023-05-07T19:03:37.285Z | nDp8H | desmond | 31
2023-05-07T19:03:37.415Z | nDp8H | user1 | 35
2023-05-07T19:03:37.450Z | nDp8H | user2 | 35
2023-05-07T19:03:37.828Z | nDp8H | user4 | 35
2023-05-07T19:03:38.189Z | nDp8H | user0 | 35
2023-05-07T19:03:38.247Z | nDp8H | user3 | 35
2023-05-07T19:03:38.310Z | nDp8H | desmond | 31
2023-05-07T19:03:38.453Z | nDp8H | user2 | 35
2023-05-07T19:03:38.426Z | nDp8H | user1 | 35
2023-05-07T19:03:38.833Z | nDp8H | user4 | 35
2023-05-07T19:03:39.193Z | nDp8H | user0 | 35
2023-05-07T19:03:39.253Z | nDp8H | user3 | 35
2023-05-07T19:03:39.331Z | nDp8H | desmond | 31
2023-05-07T19:03:39.430Z | nDp8H | user1 | 35
2023-05-07T19:03:39.457Z | nDp8H | user2 | 35
2023-05-07T19:03:39.841Z | nDp8H | user4 | 35
2023-05-07T19:03:40.201Z | nDp8H | user0 | 35
2023-05-07T19:03:40.259Z | nDp8H | user3 | 35
2023-05-07T19:03:40.348Z | nDp8H | desmond | 31
2023-05-07T19:03:40.439Z | nDp8H | user1 | 35
2023-05-07T19:03:40.465Z | nDp8H | user2 | 35
2023-05-07T19:03:40.849Z | nDp8H | user4 | 35
2023-05-07T19:03:41.208Z | nDp8H | user0 | 35
2023-05-07T19:03:41.264Z | nDp8H | user3 | 35
2023-05-07T19:03:41.372Z | nDp8H | desmond | 31
2023-05-07T19:03:41.445Z | nDp8H | user1 | 35
2023-05-07T19:03:41.471Z | nDp8H | user2 | 35
2023-05-07T19:03:41.858Z | nDp8H | user4 | 35
2023-05-07T19:03:42.213Z | nDp8H | user0 | 35
2023-05-07T19:03:42.271Z | nDp8H | user3 | 35
2023-05-07T19:03:42.391Z | nDp8H | desmond | 31
2023-05-07T19:03:42.448Z | nDp8H | user1 | 35
2023-05-07T19:03:42.474Z | nDp8H | user2 | 35
2023-05-07T19:03:42.866Z | nDp8H | user4 | 35
2023-05-07T19:03:43.216Z | nDp8H | user0 | 35
2023-05-07T19:03:43.273Z | nDp8H | user3 | 35
2023-05-07T19:03:43.400Z | nDp8H | desmond | 30
2023-05-07T19:03:43.451Z | nDp8H | user1 | 35
2023-05-07T19:03:43.476Z | nDp8H | user2 | 35
2023-05-07T19:03:43.869Z | nDp8H | user4 | 35
2023-05-07T19:03:44.223Z | nDp8H | user0 | 35
2023-05-07T19:03:44.279Z | nDp8H | user3 | 35
2023-05-07T19:03:44.423Z | nDp8H | desmond | 30
2023-05-07T19:03:44.481Z | nDp8H | user2 | 35
2023-05-07T19:03:44.454Z | nDp8H | user1 | 35
2023-05-07T19:03:44.873Z | nDp8H | user4 | 35
2023-05-07T19:03:45.226Z | nDp8H | user0 | 35
2023-05-07T19:03:45.282Z | nDp8H | user3 | 35
2023-05-07T19:03:45.441Z | nDp8H | desmond | 43
2023-05-07T19:03:45.465Z | nDp8H | user1 | 35
2023-05-07T19:03:45.483Z | nDp8H | user2 | 35
2023-05-07T19:03:45.879Z | nDp8H | user4 | 35
2023-05-07T19:03:46.240Z | nDp8H | user0 | 35
2023-05-07T19:03:46.287Z | nDp8H | user3 | 35
2023-05-07T19:03:46.474Z | nDp8H | user1 | 35
2023-05-07T19:03:46.476Z | nDp8H | desmond | 43
2023-05-07T19:03:46.496Z | nDp8H | user2 | 35
2023-05-07T19:03:57.929Z | nDp8H | user4 | 35
2023-05-07T19:04:00.754Z | nDp8H | desmond | 43
2023-05-07T19:04:00.951Z | nDp8H | user4 | 181
2023-05-07T19:04:01.369Z | nDp8H | user3 | 35
