2023-05-07T19:15:39.159Z | mtYK9 | user4 | pause
2023-05-07T19:15:39.160Z | mtYK9 | user3 | pause
2023-05-07T19:15:39.154Z | mtYK9 | user2 | pause
2023-05-07T19:15:39.173Z | mtYK9 | user9 | pause
2023-05-07T19:15:39.165Z | mtYK9 | user0 | pause
2023-05-07T19:15:53.745Z | mtYK9 | desmond | play
2023-05-07T19:15:53.853Z | mtYK9 | user8 | play
2023-05-07T19:15:53.858Z | mtYK9 | user4 | play
2023-05-07T19:15:53.892Z | mtYK9 | user3 | play
2023-05-07T19:15:53.904Z | mtYK9 | user7 | play
2023-05-07T19:15:53.904Z | mtYK9 | user6 | play
2023-05-07T19:15:53.868Z | mtYK9 | user2 | play
2023-05-07T19:15:53.892Z | mtYK9 | user1 | play
2023-05-07T19:15:53.940Z | mtYK9 | user0 | play
2023-05-07T19:15:53.872Z | mtYK9 | user9 | play
2023-05-07T19:15:53.934Z | mtYK9 | user5 | play
2023-05-07T19:16:19.048Z | mtYK9 | desmond | pause
2023-05-07T19:16:19.090Z | mtYK9 | user8 | pause
2023-05-07T19:16:19.087Z | mtYK9 | user5 | pause
2023-05-07T19:16:19.084Z | mtYK9 | user2 | pause
2023-05-07T19:16:19.097Z | mtYK9 | user3 | pause
2023-05-07T19:16:19.095Z | mtYK9 | user0 | pause
2023-05-07T19:16:19.098Z | mtYK9 | user7 | pause
2023-05-07T19:16:19.092Z | mtYK9 | user1 | pause
2023-05-07T19:16:19.096Z | mtYK9 | user4 | pause
2023-05-07T19:16:19.107Z | mtYK9 | user9 | pause
2023-05-07T19:16:19.094Z | mtYK9 | user6 | pause
2023-05-07T19:16:27.437Z | mtYK9 | desmond | play
2023-05-07T19:16:27.492Z | mtYK9 | user4 | play
2023-05-07T19:16:27.482Z | mtYK9 | user5 | play
2023-05-07T19:16:27.486Z | mtYK9 | user7 | play
2023-05-07T19:16:27.485Z | mtYK9 | user0 | play
2023-05-07T19:16:27.495Z | mtYK9 | user8 | play
2023-05-07T19:16:27.550Z | mtYK9 | user3 | play
2023-05-07T19:16:27.552Z | mtYK9 | user1 | play
2023-05-07T19:16:27.564Z | mtYK9 | user9 | play
2023-05-07T19:16:27.597Z | mtYK9 | user2 | play
2023-05-07T19:16:27.613Z | mtYK9 | user6 | play

