2023-05-07T20:49:00.971Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:01.011Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:01.014Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:01.026Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:01.029Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:01.115Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:01.129Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:01.174Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:01.262Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:01.369Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:01.372Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:01.411Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:01.414Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:01.423Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:01.425Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:01.611Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:01.629Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:01.786Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:01.555Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:01.972Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:02.012Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:02.029Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:02.035Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:02.117Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:02.133Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:02.176Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:02.021Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:02.264Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:02.374Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:02.376Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:02.413Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:02.421Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:02.425Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:02.429Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:02.788Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:02.975Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:03.014Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:03.040Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:03.028Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:03.119Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:03.136Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:03.178Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:03.265Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:03.378Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:03.381Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:03.417Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:03.430Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:03.440Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:03.438Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:01.158Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:03.162Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:02.160Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:03.790Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:01.658Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:03.669Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:02.661Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:03.976Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:04.016Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:04.030Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:04.043Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:04.121Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:04.139Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:02.639Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:03.644Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:04.163Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:02.613Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:04.185Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:03.043Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:03.614Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:04.046Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:04.267Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:04.397Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:04.402Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:04.445Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:04.437Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:04.442Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:04.445Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:04.616Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:04.648Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:04.670Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:04.792Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:02.559Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:03.570Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:04.582Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:04.985Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:05.034Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:05.019Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:05.051Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:05.045Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:05.123Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:05.140Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:05.174Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:05.190Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:05.268Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:05.403Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:05.404Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:05.440Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:05.450Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:05.452Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:05.454Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:05.588Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:05.618Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:05.662Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:05.673Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:05.794Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:05.990Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:06.024Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:06.037Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:06.051Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:06.055Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:06.125Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:06.143Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:06.181Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:06.197Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:06.272Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:06.405Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:06.407Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:06.441Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:06.457Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:06.460Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:06.460Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:06.598Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:06.620Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:06.665Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:06.678Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:06.797Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:07.004Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:07.025Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:07.041Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:07.053Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:07.056Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:07.137Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:07.145Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:07.185Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:07.203Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:07.274Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:07.412Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:07.413Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:07.447Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:07.460Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:07.464Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:07.463Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:07.604Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:07.623Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:07.668Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:07.689Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:07.800Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:08.007Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:08.027Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:08.044Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:08.056Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:08.058Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:08.143Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:08.147Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:08.187Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:08.207Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:08.296Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:08.413Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:08.419Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:08.456Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:08.467Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:08.466Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:08.474Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:08.605Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:08.626Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:08.672Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:08.696Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:08.801Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:09.029Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:09.010Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:09.060Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:09.059Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:09.047Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:09.147Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:09.159Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:09.190Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:09.208Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:09.309Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:09.423Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:09.421Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:09.457Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:09.476Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:09.473Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:09.474Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:09.607Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:09.628Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:09.673Z | Sg3Ii | user17 | 0.001047466237673895
